"","tickers","names"
"698","DK","Delek US Holdings, Inc."
"699","DELL","DELL"
"700","DLPH","Delphi Automotive PLC"
"701","DAL","Delta Air Lines, Inc."
"702","DLX","Deluxe Corporation"
"703","DBI","DBI"
"704","DESP","DESP"
"705","DB","Deutsche Bank Aktiengesellschaft"
"706","DVN","Devon Energy Corporation"
"707","DHX","DHI Group, Inc."
"708","DHT","DHT Holdings, Inc."
"709","DEO","Diageo plc"
"710","DSSI","DSSI"
"711","DRH","DiamondRock Hospitality Company"
"712","DSX","Diana Shipping Inc."
"713","DKS","Dick's Sporting Goods, Inc."
"714","DBD","Diebold Nixdorf, Incorporated"
"715","DMS","DMS"
"716","DLR","Digital Realty Trust, Inc."
"717","DDS","Dillard's, Inc."
"718","DDT","Dillards Capital Trust I"
"719","DIN","DineEquity, Inc."
"720","DFS","Discover Financial Services"
"721","DNI","Dividend and Income Fund"
"722","DMYT","DMYT"
"723","DLB","Dolby Laboratories, Inc."
"724","DG","Dollar General Corporation"
"725","D","Dominion Energy, Inc."
"726","DCUE","DCUE"
"727","DRUA","DRUA"
"728","DPZ","Domino's Pizza, Inc."
"729","UFS","Domtar Corporation"
"730","DCI","Donaldson Company, Inc."
"731","DFIN","DFIN"
"732","LPG","Dorian LPG Ltd."
"733","DSL","DoubleLine Income Solutions Fund"
"734","DBL","DoubleLine Opportunistic Credit Fund"
"735","DLY","DLY"
"736","PLOW","Douglas Dynamics, Inc."
"737","DEI","Douglas Emmett, Inc."
"738","DOV","Dover Corporation"
"739","DVD","Dover Motorsports, Inc."
"740","DOW","The Dow Chemical Company"
"741","RDY","Dr. Reddy's Laboratories Limited"
"742","DRD","DRDGOLD Limited"
"743","DRQ","Dril-Quip, Inc."
"744","DS","DS"
"745","DTE","DTE Energy Company"
"746","DTJ","DTJ"
"747","DTP","DTP"
"748","DTQ","DTE Energy Company"
"749","DTW","DTW"
"750","DTY","DTY"
"751","DCO","Ducommun Incorporated"
"752","DSE","Duff & Phelps Select Energy MLP Fund Inc."
"753","DNP","DNP Select Income Fund Inc."
"754","DTF","DTF Tax-Free Income Inc."
"755","DUC","Duff & Phelps Utility and Corporate Bond Trust Inc."
"756","DPG","Duff & Phelps Global Utility Income Fund Inc."
"757","DUK","Duke Energy Corporation"
"758","DUKB","DUKB"
"759","DUKH","Duke Energy Corporation"
"760","DRE","Duke Realty Corporation"
"761","DNB","The Dun & Bradstreet Corporation"
"762","DD","E. I. du Pont de Nemours and Company"
"763","DXC","DXC"
"764","DY","Dycom Industries, Inc."
"765","DLNG","Dynagas LNG Partners LP"
"766","DT","DT"
"767","DX","Dynex Capital, Inc."
"768","ELF","ELF"
"769","EXP","Eagle Materials Inc."
"770","ECC           ","ECC           "
"771","ECCB","ECCB"
"772","ECCX","ECCX"
"773","ECCY","ECCY"
"774","EIC","EIC"
"775","ESTE","Earthstone Energy, Inc."
"776","DEA","Easterly Government Properties, Inc."
"777","EGP","EastGroup Properties, Inc."
"778","EMN","Eastman Chemical Company"
"779","KODK","Eastman Kodak Company"
"780","ETN","Eaton Corporation plc"
"781","ETV","Eaton Vance Tax-Managed Buy-Write Opportunities Fund"
"782","ETW","Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund"
"783","EV","Eaton Vance Corp."
"784","EOI","Eaton Vance Enhanced Equity Income Fund"
"785","EOS","Eaton Vance Enhanced Equity Income Fund II"
"786","EFT","Eaton Vance Floating-Rate Income Trust"
"787","EFL","EFL"
"788","EFF","Eaton Vance Floating-Rate Income Plus Fund"
"789","EHT","EHT"
"790","ETX           ","ETX           "
"791","EOT","Eaton Vance National Municipal Opportunities Trust"
"792","EVN","Eaton Vance Municipal Income Trust"
"793","ETJ","ETJ"
"794","EFR","Eaton Vance Senior Floating-Rate Trust"
"795","EVF","Eaton Vance Senior Income Trust"
"796","EVG","Eaton Vance Short Duration Diversified Income Fund"
"797","EVT","Eaton Vance Tax-Advantaged Dividend Income Fund"
"798","ETO","Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund"
"799","ETG","Eaton Vance Tax-Advantaged Global Dividend Income Fund"
"800","ETB","Eaton Vance Tax-Managed Buy-Write Income Fund"
"801","EXD","Eaton Vance Tax-Advantaged Bond and Option Strategies Fund"
"802","ETY","Eaton Vance Tax-Managed Diversified Equity Income Fund"
"803","EXG","Eaton Vance Tax-Managed Global Diversified Equity Income Fund"
"804","ECL","Ecolab Inc."
"805","EC","Ecopetrol S.A."
"806","EPC","Edgewell Personal Care Company"
"807","EIX","Edison International"
"808","EW","Edwards Lifesciences Corporation"
"809","ELAN","ELAN"
"810","ELAT","ELAT"
"811","ESTC","ESTC"
"812","EGO","Eldorado Gold Corporation"
"813","ESI","ITT Educational Services Inc."
"814","ELVT","ELVT"
"815","LLY","Eli Lilly and Company"
"816","EFC","Ellington Financial LLC"
"817","EARN","Ellington Residential Mortgage REIT"
"818","ERJ","Embraer S.A."
"819","EME","EMCOR Group, Inc."
"820","EEX","EEX"
"821","EBS","Emergent BioSolutions Inc."
"822","EMR","Emerson Electric Co."
"823","ESRT","Empire State Realty Trust, Inc."
"824","EIG","Employers Holdings, Inc."
"825","EDN","Empresa Distribuidora y Comercializadora Norte Sociedad Anónima"
"826","ENBL","Enable Midstream Partners, LP"
"827","ENB","Enbridge Inc."
"828","ENBA","ENBA"
"829","EHC","EHC"
"830","DAVA","DAVA"
"831","EXK","Endeavour Silver Corp."
"832","ENIA","ENIA"
"833","ENIC","ENIC"
"834","ENR","Energizer Holdings, Inc."
"835","ET","ET"
"836","EPAC","EPAC"
"837","ERF","Enerplus Corporation"
"838","ENS","EnerSys"
"839","E","Eni S.p.A."
"840","ENLC","EnLink Midstream, LLC"
"841","EBF","Ennis, Inc."
"842","ENVA","Enova International, Inc."
"843","NPO","EnPro Industries, Inc."
"844","ETM","Entercom Communications Corp."
"845","EAB","Entergy Arkansas, Inc."
"846","EAE","Entergy Arkansas, Inc."
"847","EAI","EAI"
"848","ETR","Entergy Corporation"
"849","ELC","ELC"
"850","ELJ","Entergy Louisiana, LLC"
"851","ELU","Entergy Louisiana, LLC"
"852","EMP","EMP"
"853","ENJ","Entergy New Orleans, Inc."
"854","ENO","Entergy New Orleans, Inc."
"855","EZT","Entergy Texas, Inc."
"856","EPD","Enterprise Products Partners L.P."
"857","EVC","Entravision Communications Corporation"
"858","ENV","Envestnet, Inc."
"859","NVST","NVST"
"860","EVA","Enviva Partners, LP"
"861","ENZ","Enzo Biochem, Inc."
"862","EOG","EOG Resources, Inc."
"863","EPAM","EPAM Systems, Inc."
"864","EPR","EPR Properties"
"865","EQT","EQT Corporation"
"866","EFX","Equifax Inc."
"867","EQNR","EQNR"
"868","EQH","EQH"
"869","ETRN","ETRN"
"870","EQC","Equity Commonwealth"
"871","ELS","Equity LifeStyle Properties, Inc."
"872","EQR","Equity Residential"
"873","EQS","Equus Total Return, Inc."
"874","EROS","Eros International Plc"
"875","ESE","ESCO Technologies Inc."
"876","ESNT","Essent Group Ltd."
"877","EPRT","EPRT"
"878","WTRG","WTRG"
"879","WTRU","WTRU"
"880","ESS","Essex Property Trust, Inc."
"881","EL","The Estée Lauder Companies Inc."
"882","ETH","Ethan Allen Interiors Inc."
"883","EURN","Euronav NV"
"884","EEA","The European Equity Fund, Inc."
"885","EB","EB"
"886","EVR","Evercore Partners Inc."
"887","RE","Everest Re Group, Ltd."
"888","EVRG","EVRG"
"889","EVRI","Everi Holdings Inc."
"890","ES","Eversource Energy"
"891","EVTC","EVERTEC, Inc."
"892","EVH","Evolent Health, Inc."
"893","AQUA","AQUA"
"894","XAN","XAN"
"895","EXPR","Express, Inc."
"896","EXTN","Exterran Corporation"
"897","EXR","Extra Space Storage Inc."
"898","XOM","Exxon Mobil Corporation"
"899","FNB","F.N.B. Corporation"
"900","FN","Fabrinet"
"901","FDS","FactSet Research Systems Inc."
"902","FICO","Fair Isaac Corporation"
"903","SFUN","Fang Holdings Limited"
"904","FPAC","FPAC"
"905","FTCH","FTCH"
"906","FPI","Farmland Partners Inc."
"907","FSLY","FSLY"
"908","FBK","FBK"
"909","FFG","FBL Financial Group, Inc."
"910","AGM","Federal Agricultural Mortgage Corporation"
"911","FRT","Federal Realty Investment Trust"
"912","FSS","Federal Signal Corporation"
"913","FMN","Federated Premier Municipal Income Fund"
"914","FHI","FHI"
"915","FDX","FedEx Corporation"
"916","RACE","Ferrari N.V."
"917","FOE","Ferro Corporation"
"918","FCAU","Fiat Chrysler Automobiles N.V."
"919","FNF","Fidelity National Financial, Inc."
"920","FIS","Fidelity National Information Services, Inc."
"921","FMO","Fiduciary/Claymore MLP Opportunity Fund"
"922","FINV","FINV"
"923","FAF","First American Financial Corporation"
"924","FBP","First Bancorp"
"925","FCF","First Commonwealth Financial Corporation"
"926","TCRW","TCRW"
"927","TCRZ","THL Credit, Inc."
"928","FSLF","FSLF"
"929","FHN","First Horizon National Corporation"
"930","FR","First Industrial Realty Trust Inc."
"931","AG","First Majestic Silver Corp."
"932","FRC","First Republic Bank"
"933","FFA","First Trust Enhanced Equity Income Fund"
"934","FMY","First Trust Mortgage Income Fund"
"935","FDEU","First Trust Dynamic Europe Equity Income Fund"
"936","FIF","First Trust Energy Infrastructure Fund"
"937","FSD","First Trust High Income Long/Short Fund"
"938","FTHY","FTHY"
"939","FPF","First Trust Intermediate Duration Preferred & Income Fund"
"940","FEI           ","FEI           "
"941","FPL","First Trust New Opportunities MLP & Energy Fund"
"942","FIV","FIV"
"943","FCT","First Trust Senior Floating Rate Income Fund II"
"944","FGB","First Trust Specialty Finance and Financial Opportunities Fund"
"945","FEO","First Trust/Aberdeen Emerging Opportunity Fund"
"946","FAM","First Trust/Aberdeen Global Opportunity Income Fund"
"947","FE","FirstEnergy Corp."
"948","FIT","Fitbit, Inc."
"949","FPH","FPH"
"950","FVRR","FVRR"
"951","FBC","Flagstar Bancorp, Inc."
"952","DFP","Delphi Financial Group, Inc."
"953","PFD","Flaherty & Crumrine Preferred Income Fund Inc."
"954","PFO","Flaherty & Crumrine Preferred Income Opportunity Fund Inc."
"955","FFC","Flaherty & Crumrine Preferred Securities Income Fund Inc."
"956","FLC","Flaherty & Crumrine Total Return Fund Inc."
"957","FLT","FleetCor Technologies, Inc."
"958","FLNG","FLNG"
"959","FND","FND"
"960","FTK","Flotek Industries, Inc."
"961","FLO","Flowers Foods, Inc."
"962","FLS","Flowserve Corporation"
"963","FLR","Fluor Corporation"
"964","FLY","FLY Leasing Limited"
"965","FEAC","FEAC"
"966","FMC","FMC Corporation"
"967","WPF","WPF"
"968","FMX","Fomento Económico Mexicano, S.A.B. de C.V."
"969","FL","Foot Locker, Inc."
"970","F","Ford Motor Company"
"971","FOR","Forestar Group Inc."
"972","FTS","FTS"
"973","FTV","FTV"
"974","FTAI","Fortress Transportation and Infrastructure Investors LLC"
"975","FVAC","FVAC"
"976","FSM","Fortuna Silver Mines Inc."
"977","FBHS","Fortune Brands Home & Security, Inc."
"978","FET","Forum Energy Technologies, Inc."
"979","FBM","FBM"
"980","FCPT","Four Corners Property Trust, Inc."
"981","FEDU","FEDU"
"982","FNV","Franco-Nevada Corporation"
"983","FC","Franklin Covey Co."
"984","FSB","Franklin Financial Network, Inc."
"985","BEN","Franklin Resources, Inc."
"986","FT","Franklin Universal Trust"
"987","FI","Frank's International N.V."
"988","FCX","Freeport-McMoRan Inc."
"989","FMS","Fresenius Medical Care AG & Co. KGAA"
"990","FDP","Fresh Del Monte Produce Inc."
"991","RESI","Altisource Residential Corporation"
"992","FRO","Frontline Ltd."
"993","FSK","FSK"
"994","FSKR","FSKR"
"995","FCN","FTI Consulting, Inc."
"996","FF","FutureFuel Corp."
"997","GCV","The Gabelli Convertible and Income Securities Fund Inc."
"998","GAB","The Gabelli Equity Trust Inc."
"999","GGZ","The Gabelli Global Small and Mid Cap Value Trust"
"1000","GGT","The Gabelli Multimedia Trust Inc."
"1001","GUT","The Gabelli Utility Trust"
"1002","GLEO","GLEO"
"1003","GBL","GAMCO Investors, Inc."
"1004","GNT","GAMCO Natural Resources, Gold & Income Trust"
"1005","GME","GameStop Corp."
"1006","GCI","Gannett Co., Inc."
"1007","GPS","The Gap, Inc."
"1008","GTX","GTX"
"1009","IT","Gartner, Inc."
"1010","GLOG","GasLog Ltd."
"1011","GLOP","GasLog Partners LP"
"1012","GTES","GTES"
"1013","GATX","GATX"
"1014","GMTA","GMTA"
"1015","GCP","GCP Applied Technologies Inc."
"1016","GNK","Genco Shipping & Trading Limited"
"1017","GNRC","Generac Holdings Inc."
"1018","GAM","General American Investors Company, Inc."
"1019","GD","General Dynamics Corporation"
"1020","GE","General Electric Company"
"1021","GIS","General Mills, Inc."
"1022","GM","General Motors Company"
"1023","GCO","Genesco Inc."
"1024","GEL","Genesis Energy, L.P."
"1025","GEN           ","GEN           "
"1026","GNE","Genie Energy Ltd."
"1027","G","Genpact Limited"
"1028","GPC","Genuine Parts Company"
"1029","GNW","Genworth Financial, Inc."
"1030","GEO","The GEO Group, Inc."
"1031","GPRK","GeoPark Limited"
"1032","GPJA","GPJA"
"1033","GGB","Gerdau S.A."
"1034","GTY","Getty Realty Corp."
"1035","GFL","GFL"
"1036","GFLU","GFLU"
"1037","GIX","GIX"
"1038","GIX~","GIX~"
"1039","GIK","GIK"
"1040","GIL","Gildan Activewear Inc."
"1041","GLT","P. H. Glatfelter Company"
"1042","GKOS","Glaukos Corporation"
"1043","GSK","GlaxoSmithKline plc"
"1044","CO","China Cord Blood Corporation"
"1045","GMRE","Global Medical REIT, Inc."
"1046","GNL","Global Net Lease, Inc."
"1047","GLP","Global Partners LP"
"1048","GPN","Global Payments Inc."
"1049","GSL","Global Ship Lease, Inc."
"1050","GSLD","GSLD"
"1051","GLOB","Globant S.A."
"1052","GL","GL"
"1053","GMED","Globus Medical, Inc."
"1054","GMS","GMS"
"1055","GDDY","GoDaddy Inc."
"1056","GOL","GOL Linhas AÃ©reas Inteligentes S.A."
"1057","GFI","Gold Fields Limited"
"1058","GSBD","Goldman Sachs BDC, Inc."
"1059","GS","The Goldman Sachs Group, Inc."
"1060","GER","Goldman Sachs MLP and Energy Renaissance Fund"
"1061","GMZ","Goldman Sachs MLP Income Opportunities Fund"
"1062","GRC","The Gorman-Rupp Company"
"1063","GPX","GP Strategies Corporation"
"1064","GGG","Graco Inc."
"1065","GRAF","GRAF"
"1066","EAF","EAF"
"1067","GHM","Graham Corporation"
"1068","GHC","Graham Holdings Company"
"1069","GRAM","Graña y Montero S.A.A."
"1070","GVA","Granite Construction Incorporated"
"1071","GPMT","GPMT"
"1072","GPK","Graphic Packaging Holding Company"
"1073","GTN","Gray Television, Inc."
"1074","AJX","Great Ajax Corp"
"1075","AJXA","AJXA"
"1076","GWB","Great Western Bancorp, Inc."
"1077","GDOT","Green Dot Corporation"
"1078","GBX","The Greenbrier Companies, Inc."
"1079","GHL","Greenhill & Co., Inc."
"1080","GHG","GHG"
"1081","GEF","Greif, Inc."
"1082","GFF","Griffon Corporation"
"1083","GPI","Group 1 Automotive, Inc."
"1084","GRUB","GrubHub Inc."
"1085","PAC","Grupo Aeroportuario del Pacífico, S.A.B. de C.V."
"1086","ASR","Grupo Aeroportuario del Sureste, S. A. B. de C. V."
"1087","AVAL","Grupo Aval Acciones Y Valores S.A."
"1088","SUPV","SUPV"
"1089","TV","Grupo Televisa, S.A.B."
"1090","GSX","GSX"
"1091","GTT","GTT Communications, Inc."
"1092","GSH","Guangshen Railway Company Limited"
"1093","GES","Guess', Inc."
"1094","GGM","Guggenheim Credit Allocation Fund"
"1095","GPM","Guggenheim Enhanced Equity Income Fund"
"1096","GOF","Guggenheim Strategic Opportunities Fund"
"1097","GBAB","Guggenheim Taxable Municipal Managed Duration Trust"
"1098","GWRE","Guidewire Software, Inc."
"1099","HRB","H&R Block, Inc."
"1100","FUL","H.B. Fuller Company"
"1101","HAE","Haemonetics Corporation"
"1102","HAL","Halliburton Company"
"1103","HBB","HBB"
"1104","HBI","Hanesbrands Inc."
"1105","HNGR","Hanger, Inc."
"1106","HASI","Hannon Armstrong Sustainable Infrastructure Capital, Inc."
"1107","HOG","Harley-Davidson, Inc."
"1108","HMY","Harmony Gold Mining Company Limited"
"1109","HSC","Harsco Corporation"
"1110","HGH","The Hartford Financial Services Group, Inc."
"1111","HIG","The Hartford Financial Services Group, Inc."
"1112","HVT","Haverty Furniture Companies, Inc."
"1113","HE","Hawaiian Electric Industries, Inc."
"1114","HCHC","HC2 Holdings, Inc."
"1115","HCA","HCA Healthcare, Inc."
"1116","HCI","HCI Group, Inc."
"1117","HDB","HDFC Bank Limited"
"1118","HR","Healthcare Realty Trust Incorporated"
"1119","HTA","Healthcare Trust of America, Inc."
"1120","PEAK","PEAK"
"1121","HL","Hecla Mining Company"
"1122","HEI","HEICO Corporation"
"1123","HLX","Helix Energy Solutions Group, Inc."
"1124","HP","Helmerich & Payne, Inc."
"1125","HLF","Herbalife Ltd."
"1126","HRI","HRI"
"1127","HCXY","HCXY"
"1128","HCXZ","HCXZ"
"1129","HTGC","Hercules Capital, Inc."
"1130","HRTG","Heritage Insurance Holdings, Inc."
"1131","PSV","PSV"
"1132","HT","Hersha Hospitality Trust"
"1133","HSY","The Hershey Company"
"1134","HTZ","Hertz Global Holdings, Inc."
"1135","HES","Hess Corporation"
"1136","HESM","HESM"
"1137","HPE","Hewlett Packard Enterprise Company"
"1138","HXL","Hexcel Corporation"
"1139","HEXO","HEXO"
"1140","PCF","Putnam High Income Securities Fund"
"1141","HGLB","HGLB"
"1142","HFRO","HFRO"
"1143","HPR","HPR"
"1144","HIW","Highwoods Properties, Inc."
"1145","HIL","Hill International, Inc."
"1146","HI","Hillenbrand, Inc."
"1147","HRC","Hill-Rom Holdings, Inc."
"1148","HTH","Hilltop Holdings Inc."
"1149","HGV","HGV"
"1150","HLT","Hilton Worldwide Holdings Inc."
"1151","HNI","HNI Corporation"
"1152","HMLP","Höegh LNG Partners LP"
"1153","HEP","Holly Energy Partners, L.P."
"1154","HFC","HollyFrontier Corporation"
"1155","HD","The Home Depot, Inc."
"1156","HMC","Honda Motor Co., Ltd."
"1157","HON","Honeywell International Inc."
"1158","HMN","Horace Mann Educators Corporation"
"1159","HZN","Horizon Global Corporation"
"1160","HTFA","HTFA"
"1161","HRL","Hormel Foods Corporation"
"1162","HST","Host Hotels & Resorts, Inc."
"1163","HLI","Houlihan Lokey, Inc."
"1164","HOV","Hovnanian Enterprises, Inc."
"1165","HHC","The Howard Hughes Corporation"
"1166","HWM","HWM"
"1167","HPQ","HP Inc."
"1168","HSBC","HSBC Holdings plc"
"1169","HMI","HMI"
"1170","HNP","Huaneng Power International, Inc."
"1171","HUBB","Hubbell Incorporated"
"1172","HUBS","HubSpot, Inc."
"1173","HBM","Hudbay Minerals Inc."
"1174","HUD","HUD"
"1175","HPP","Hudson Pacific Properties, Inc."
"1176","HUM","Humana Inc."
"1177","HCFT","HCFT"
"1178","HII","Huntington Ingalls Industries, Inc."
"1179","HUN","Huntsman Corporation"
"1180","HUYA","HUYA"
"1181","H","Hyatt Hotels Corporation"
"1182","HY","Hyster-Yale Materials Handling, Inc."
"1183","IAA","IAA"
"1184","IAG","IAMGOLD Corporation"
"1185","IBN","ICICI Bank Limited"
"1186","ICL","Israel Chemicals Ltd."
"1187","IDA","IdaCorp, Inc."
"1188","IEX","IDEX Corporation"
"1189","IDT","IDT Corporation"
"1190","INFO","IHS Markit Ltd."
"1191","ITW","Illinois Tool Works Inc."
"1192","IMAX","IMAX Corporation"
"1193","ICD","Independence Contract Drilling, Inc."
"1194","IHC","Independence Holding Company"
"1195","IRT","Independence Realty Trust, Inc."
"1196","IFN","The India Fund, Inc."
"1197","IBA","Industrias Bachoco, S.A.B. de C.V."
"1198","INFY","Infosys Limited"
"1199","ING","ING Groep N.V."
"1200","IR","Ingersoll-Rand Plc"
"1201","NGVT","NGVT"
"1202","INGR","Ingredion Incorporated"
"1203","IIPR","IIPR"
"1204","IPHI","Inphi Corporation"
"1205","INSI","INSI"
"1206","NSP","Insperity, Inc."
"1207","INSP","INSP"
"1208","IBP","Installed Building Products, Inc."
"1209","ITGR","ITGR"
"1210","ICE","Intercontinental Exchange, Inc."
"1211","IHG","InterContinental Hotels Group PLC"
"1212","IFS","IFS"
"1213","IBM","International Business Machines Corporation"
"1214","IFF","International Flavors & Fragrances Inc."
"1215","IFFT","IFFT"
"1216","IGT","International Game Technology PLC"
"1217","IP","International Paper Company"
"1218","INSW","INSW"
"1219","IPV","IPV"
"1220","IPG","The Interpublic Group of Companies, Inc."
"1221","IPI","Intrepid Potash, Inc."
"1222","IVC","Invacare Corporation"
"1223","VBF","Invesco Bond Fund"
"1224","VCV","Invesco California Value Municipal Income Trust"
"1225","VTA","Invesco Dynamic Credit Opportunities Fund"
"1226","IHIT","IHIT"
"1227","IHTA","IHTA"
"1228","VLT","Invesco High Income Trust II"
"1229","IVR","Invesco Mortgage Capital Inc."
"1230","OIA","Invesco Municipal Income Opportunities Trust"
"1231","VMO","Invesco Municipal Opportunity Trust"
"1232","VKQ","Invesco Municipal Trust"
"1233","VPV","Invesco Pennsylvania Value Municipal Income Trust"
"1234","IVZ","Invesco Ltd."
"1235","IQI","Invesco Quality Municipal Income Trust"
"1236","VVR","Invesco Senior Income Trust"
"1237","VTN","Invesco Trust for Investment Grade New York Municipals"
"1238","VGM","Invesco Trust for Investment Grade Municipals"
"1239","IIM","Invesco Value Municipal Income Trust"
"1240","IRET","Investors Real Estate Trust"
"1241","NVTA","Invitae Corporation"
"1242","INVH","INVH"
"1243","IO","ION Geophysical Corporation"
"1244","IQV","IQV"
"1245","IRM","Iron Mountain Incorporated"
"1246","IRS","IRSA Inversiones y Representaciones Sociedad Anónima"
"1247","STAR          ","STAR          "
"1248","ITCB","Itaú CorpBanca"
"1249","ITUB","Itaú Unibanco Holding S.A."
"1250","ITT","ITT Inc."
"1251","IVH","Ivy Funds - Ivy High Income Opportunities Fund"
"1252","JPM","JPMorgan Chase & Co."
"1253","JAX","J. Alexander's Holdings, Inc."
"1254","JILL","JILL"
"1255","SJM","The J. M. Smucker Company"
"1256","JBL","Jabil Inc."
"1257","J","J"
"1258","JHX","James Hardie Industries plc"
"1259","JHG","JHG"
"1260","JOF","Japan Smaller Capitalization Fund, Inc."
"1261","JWS","JWS"
"1262","JBGS","JBGS"
"1263","JEF","JEF"
"1264","JELD","JELD"
"1265","JCAP","Jernigan Capital, Inc."
"1266","JT","JT"
"1267","JKS","JinkoSolar Holding Co., Ltd."
"1268","JMP","JMP Group LLC"
"1269","JBT","John Bean Technologies Corporation"
"1270","BTO","John Hancock Financial Opportunities Fund"
"1271","HEQ","John Hancock Hedged Equity & Income Fund"
"1272","JHS","John Hancock Income Securities Trust"
"1273","JHI","John Hancock Investors Trust"
"1274","HPF","John Hancock Preferred Income Fund II"
"1275","HPI","John Hancock Preferred Income Fund"
"1276","HPS","John Hancock Preferred Income Fund III"
"1277","PDT","John Hancock Premium Dividend Fund"
"1278","HTD","John Hancock Tax-Advantaged Dividend Income Fund"
"1279","HTY","John Hancock Investments - John Hancock Tax-Advantaged Global Shareholder Yield Fund"
"1280","JNJ","Johnson & Johnson"
"1281","JCI","Johnson Controls International plc"
"1282","JLL","Jones Lang LaSalle Incorporated"
"1283","JMIA","JMIA"
"1284","JIH","JIH"
"1285","JNPR","Juniper Networks, Inc."
"1286","JP","Jupai Holdings Limited"
"1287","JE","Just Energy Group Inc."
"1288","LRN","K12 Inc."
"1289","KAI","Kadant Inc."
"1290","KDMN","KDMN"
"1291","KAMN","Kaman Corporation"
"1292","KSU","Kansas City Southern"
"1293","KAR","KAR Auction Services, Inc."
"1294","KMF","Kayne Anderson Midstream/Energy Fund, Inc."
"1295","KYN","Kayne Anderson MLP Investment Company"
"1296","KB","KB Financial Group Inc."
"1297","KBH","KB Home"
"1298","KBR","KBR, Inc."
"1299","K","Kellogg Company"
"1300","KMPR","Kemper Corporation"
"1301","KMT","Kennametal Inc."
"1302","KW","Kennedy-Wilson Holdings, Inc."
"1303","KEN","Kenon Holdings Ltd."
"1304","KDP","KDP"
"1305","KEY","KeyCorp"
"1306","KEYS","Keysight Technologies, Inc."
"1307","KRC","Kilroy Realty Corporation"
"1308","KRP","KRP"
"1309","KMB","Kimberly-Clark Corporation"
"1310","KIM","Kimco Realty Corporation"
"1311","KMI","Kinder Morgan, Inc."
"1312","KFS","Kingsway Financial Services Inc."
"1313","KGC","Kinross Gold Corporation"
"1314","KEX","Kirby Corporation"
"1315","KL","KL"
"1316","KRG","Kite Realty Group Trust"
"1317","KKR","KKR & Co. L.P."
"1318","KIO","KKR Income Opportunities Fund"
"1319","KREF","KREF"
"1320","KNX","Knight Transportation, Inc."
"1321","KNL","Knoll, Inc."
"1322","KNOP","KNOT Offshore Partners LP"
"1323","KN","Knowles Corporation"
"1324","KSS","Kohl's Corporation"
"1325","PHG","Koninklijke Philips N.V."
"1326","KTB","KTB"
"1327","KOP","Koppers Holdings Inc."
"1328","KEP","Korea Electric Power Corporation"
"1329","KF","The Korea Fund, Inc."
"1330","KFY","Korn/Ferry International"
"1331","KOS","Kosmos Energy Ltd."
"1332","KRA","Kraton Corporation"
"1333","KR","The Kroger Co."
"1334","KRO","Kronos Worldwide, Inc."
"1335","KT","KT Corporation"
"1336","LB","L Brands, Inc."
"1337","SCX","The L.S. Starrett Company"
"1338","LHX","LHX"
"1339","LH","Laboratory Corporation of America Holdings"
"1340","LADR","Ladder Capital Corp"
"1341","LAIX","LAIX"
"1342","LW","LW"
"1343","LCI","Lannett Company, Inc."
"1344","LPI","Laredo Petroleum, Inc."
"1345","LVS","Las Vegas Sands Corp."
"1346","LGI","Lazard Global Total Return and Income Fund, Inc."
"1347","LAZ","Lazard Ltd"
"1348","LZB","La-Z-Boy Incorporated"
"1349","LCII","LCII"
"1350","LEAF","LEAF"
"1351","LEA","Lear Corporation"
"1352","LEE","Lee Enterprises, Incorporated"
"1353","LGC","LGC"
"1354","LMHA","Legg Mason, Inc."
"1355","LMHB","LMHB"
"1356","LEG","Leggett & Platt, Incorporated"
"1357","JBK","Corporate Backed Trust Certificates, Goldman Sachs Capital I Securities-Backed Series 2004-6"
"1358","KTH","Corts Trust For Peco Energy Capital Trust III"
"1359","KTN","Credit-Enhanced Corts Trust Aon"
"1360","LDOS","Leidos Holdings, Inc."
"1361","LEJU","Leju Holdings Limited"
"1362","LMND","LMND"
"1363","LC","LendingClub Corporation"
"1364","LEN","Lennar Corporation"
"1365","LII","Lennox International Inc."
"1366","LEVI","LEVI"
"1367","LXP","Lexington Realty Trust"
"1368","LPL","LG Display Co., Ltd."
"1369","DFNS","Defense Industries International Inc."
"1370","USA","Columbia Funds Trust XII - Liberty All Star Equity Fund"
"1371","ASG","Liberty All-Star Growth Fund, Inc."
"1372","LBRT","LBRT"
"1373","LSI","LSI"
"1374","LITB","LightInTheBox Holding Co., Ltd."
"1375","LNC","Lincoln National Corporation"
"1376","LIN","LIN"
"1377","LNN","Lindsay Corporation"
"1378","LN","LN"
"1379","LINX","LINX"
"1380","LAD","Lithia Motors, Inc."
"1381","LAC","LAC"
"1382","LYV","Live Nation Entertainment, Inc."
"1383","LOAK","LOAK"
"1384","LTHM","LTHM"
"1385","RAMP","RAMP"
"1386","LYG","Lloyds Banking Group plc"
"1387","SCD","LMP Capital and Income Fund Inc."
"1388","LMT","Lockheed Martin Corporation"
"1389","L","Loews Corporation"
"1390","LOMA","LOMA"
"1391","LGVW","LGVW"
"1392","LPX","Louisiana-Pacific Corporation"
"1393","LOW","Lowe's Companies, Inc."
"1394","LXU","LSB Industries, Inc."
"1395","LTC","LTC Properties, Inc."
"1396","LUB","Luby's, Inc."
"1397","LL","Lumber Liquidators Holdings, Inc."
